Posts content,Likes
"Creatine today is where protein was roughly a decade ago:

Misunderstood and seen as something only for gym bros.
While the science unequivocally proves otherwise. 

Creatine is one of the most researched supplements in the world. The global scientific community has studied it for decades and continues to uncover more benefits.

Yet the perception around it hasn’t caught up.

and at SuperYou, we believe it’s time to change that.

Yes, creatine supports strength and power.
But research today also points to its role in cognitive performance, recovery, healthy aging, and even mental well-being.

In other words, creatine isn’t just for bodybuilders.
It’s for anyone who trains, plays sports, pushes their body, or simply wants to feel sharper and stronger in everyday life.

With superyou, our mission has always been simple:
help people become the super version of themselves and creatine fits beautifully into that philosophy.

We’re not promising magic.
And there are no shortcuts.

But if you take it consistently, be rest assured - you will feel the benefits! 

And I’ve always believed something simple:

When you feel physically stronger, you feel mentally stronger too.

More confident.
More resilient.
More ready for whatever life throws at you.

So we’re excited to bring creatine into the universe of SuperYou PRO and help change how people think about it.

Time to get stronger. Sharper.
Time to go from You → SuperYou. 💪",793
"Excited to announce Juicebox has raised an $80M Series B at an $850M valuation.

The round was led by DST Global, with participation from Sequoia Capital, Coatue Management, and Y Combinator.

Recruiting has hit an inflection point.

First, the AI-generated applications have made it near impossible to rely on applications.

AI has made it easier than ever for candidates to apply to jobs. Inbound pipelines that once surfaced great candidates are now flooded with noise and guesswork.

Instead of relying purely on reactive inbound pipelines, the best teams are building predictable outbound talent pipelines the same way GTM teams build sales pipelines.

Second, recruiting teams are becoming AI native.

Companies are building world-class recruiting teams powered by Agents. Even the leanest teams can engineer systems that can source, engage, and move candidates through the funnel at a scale and accuracy that wasn’t possible before.

Empowering talent teams through these shifts are what we’re most excited for.

Today, 5,000+ companies use Juicebox to power their hiring, from fast-growing startups to Fortune 100 enterprises.

And since our last fundraise, we’ve:

— Tripled our ARR
— Helped teams engage 3M+ candidates
— Powered more than 500,000+ searches

But we’re still incredible early in the journey towards AI-native hiring.

We’ve now raised $116M+ in total to build towards this goal.

The investment will help us accelerate product development, expand our enterprise go-to-market, and open our first international office in London this summer.

A few special shoutouts:

1/ Our amazing customers, who are just as enthusiastic about the product as we are, and push us to build something magical in an industry overdue for change.

2/ The Juicebox team, which has now grown to a team of 40+ world-class people building here in San Francisco. 

3/ Our partners: from ATS platforms, to community leaders and creators - who make the experience of using Juicebox even more powerful.

4/ And lastly, our investors Saurabh Gupta at DST Global, David Cahn at Sequoia Capital, Coatue Management, Y Combinator who continue to believe in us and our vision.

Thank you for the support over the past three years.

Let’s help recruiters win the talent war.
",1099
"Gurgaon, Delhi, Mumbai and Bangalore can now order fresh food delivered in 10 minutes. 

Its crazy how much love we are getting for Zepto Cafe! From fresh brewed coffee to hot piping masala tea. From buttery Bun Maskas to steamy Baos. From crunchy Puffs to cheesy Garlic Bread, we are delivering within 10 minutes. And yes our Vietnamese Cold Coffee is everybody's favourite. 

Have you tried Zepto yet? Do tell me in the comments which one is your favourite. Soon to be in more cities!",1209
"I’m a marketer that’s spent 80+ hours in Claude Cowork/ Code and just created an entire video academy on this. I’m giving it away today

I wish I had these superpowers when I was on the Uber growth team

I’m still in shock with how 10x of a marketer this has made me

So… what exactly will I teach you? 

1. Setting up Cowork correctly to get the most out of it
2. Running an audit on your ad accounts with Cowork
3. Scheduling competitor website monitoring 
4. Making Claude Code feel much less scary
5. Building a full functioning course site on Code
6. Building a social listening web app on Code
7. Providing you with copy/ paste skills and prompts

With all this info on Claude, you’ll instantly become the best marketer on your team.

Here’s how to grab it:

1. Comment “👑”
2. Connect with me so I can DM you the site link (important)
♻️ Repost and I’ll give you priority access first 

P.S. We train and pair companies with $4k/mo full-time AI-native marketers at GrowthPair",1076
"BREAKING: Yann LeCun has raised a HUGE $1.03bn round for his new startup, in Europe's largest seed EVER 🚀 

It values Advanced Machine Intelligence (AMI) at a WHOPPING $3.5bn!

The company, based in Paris, is aiming to develop the next generation of AI models that go beyond LLMs.

It is aiming to build world models that learn abstract representations of reality, similar to the mental models humans use to reason and guide action in the physical world. 

These systems predict how situations evolve, and how actions lead to consequences, so that they can plan sequences of actions under real-world constraints.

It has just announced raising $1.03bn at a $3.5bn valuation co-led by Hiro Capital, Cathay Innovation, Greycroft, HV Capital, and Jeff Bezos Expeditions.

AMI is chaired by Yann LeCun and led by CEO Alex LeBrun with other execs including Saining Xie, Pascale Fung, Michael Rabbat, and Laurent Solly.

In February it was revealed that UK-based Ineffable Intelligence was raising a $1bn seed. Now French AMI is raising a $1.03bn seed.

Both of these companies are aiming to take AI beyond LLMs, and if they succeed, could build some of the most important technology in the world. 

European Tech is COOKING and we love to see it 🇪🇺

Interested in European Tech? Sign up to my newsletter to stay up to date: https://lnkd.in/d54jdWXP",2287
"Most partnership teams don’t know which partners actually generate revenue.

Deals are influenced by dozens of ecosystem signals: integrations, referrals, shared customers, co-selling.

But other tools can’t connect those signals to deals.

Today we’re launching AI Insights inside Arzule.

It turns ecosystem activity into clear guidance on which partnerships drive revenue and where to focus next.",160
"Working closely with founders, one thing becomes clear.
No two companies are built the same way.

Different teams.
Different struggles.
Different turning points.

That’s why I liked the idea behind Cashfree Payments’ “One of Your Kind” campaign.

For 10+ years, they’ve been building the payments infrastructure that supports one of a kind companies from day one , helping brands build differently and carve their own path.

Because every successful company needs a partner that is their Kind.

Question for founders here:
What was one early moment that made you believe your company could really work?""",870
"If you ever feel dumb just rememeber there is someone dumber than you working at LinkedIn who developed this f*ckass update and now the app navigation bar is ON my device navigation bar band everytime I click notifications or the create post button, I just get yeeted out of the app :)))

Like good way to end my addiction but whyyy

*opens linkedin on laptop*",130
"Here is a story I have never shared before. 28th August 2021 changed the trajectory of both my life and Bewakoof.

A fire broke out in our manufacturing plant and warehouse and lasted 19 hours. It wiped out all the machinery and inventory, worth ₹50 crores. I was there on the ground, watching it unfold in real time. Luckily, no one was hurt that day. 

One of the hardest parts was the timing. 

After 10 years of building, BEWAKOOF® was at its peak. We were at a ₹250+ crore revenue run-rate, breaking even, and receiving serious investor interest. 

Then overnight, everything changed.

We were left staring at ₹100 crores in loans and vendor obligations, with zero monthly revenue.

You spend a decade hoping to become an overnight success.
I became an overnight failure.

The months that followed were the darkest of my life.
Vendors called relentlessly. Banks warned of bankruptcy. Every day felt like survival.

Mentally, I was falling apart. I had nightmares of the fire. I would wake up in panic. I had brain fog and breakdowns. Over time, it started showing up in my body too - pain, heaviness, and a nervous system that just would not switch off.

It took years to get Bewakoof back on its feet.
And honestly, it took years to get myself back on mine.
Most entrepreneurial journeys swing between highs and lows. Mine, for a while, got ugly.

It takes soul to build a company.
It takes pieces of you to rebuild one.",5123
"Last month, one of our Experts was mugged on her way back home after a shift. She was physically assaulted and her phone was taken away. She couldn’t press the SOS button because it required unlocking the phone first.

When we built the first version of our Expert App about 1.5 years ago, we had already added an SOS button. We knew that when thousands of people enter homes every day, things can go wrong. At the time, that felt like the right safety layer.

Since then, Snabbit has changed dramatically and we have grown at an exponential rate. But somewhere along the way, our safety systems had not evolved as fast as the company had. 

That is what led us to build Snabbit Kavach - a platform-embedded safety infrastructure designed to proactively protect our Experts. Because safety cannot be reactive. It cannot depend on someone finding a button in a moment of panic. It has to work quietly in the background, detect risk signals, and step in when needed.

As we scale, we will keep pushing for growth, stronger unit economics, and deeper moats. But one thing cannot be compromised. The trust of the women who power this platform.

Because the more time I spend building Snabbit, the more I realize how tough and how extraordinary their journeys truly are. And the least they deserve is to feel safe at work.",1903
